1,Web Hosting,Web Development,index.php,2020-01-17
2,Inspiration,Edit and Deploy,bacs200/02/index.html,2020-01-24
3,Amusement,Basic HTML,bacs200/03/index.html,2020-01-31
4,Screenshots,Images and Links,bacs200/04/index.html,2020-02-07
5,Educate & Entertain,Using YouTube video,bacs200/05/index.html,2020-02-14
6,My Video, Video & YouTube,bacs200/06/index.html,2020-02-21
7,Wanted Poster,Layout and Navigation               
8,Teach a Skill,Bootstrap               
9,Development Resources,W3Schools               
10,Image Gallery,Photoshop & Illustrator                
11,Travel Brochure,Web Design         
12,Project Plan,Project Management               
13,Non-profit Blog,Business Value                  
14,Your Career Plan,Skills                
15,Business Blog,Professional Presence                    