2020-08-24,1,,1,
2020-08-26,,,2,
2020-08-28,,,3,
2020-08-31,2,Labor Day,,
2020-09-02,,,4,
2020-09-04,,,5,
2020-09-07,3,,6,
2020-09-09,,,7,
2020-09-11,,,8,
2020-09-14,4,,9,
2020-09-16,,,10,
2020-09-18,,,11,
2020-09-21,5,,12,
2020-09-23,,,13,
2020-09-25,,,14,
2020-09-28,6,,15,
2020-09-30,,,16,
2020-10-02,,,17,
2020-10-05,7,,18,
2020-10-07,,,19,
2020-10-09,,,20,
2020-10-12,8,,21,
2020-10-14,,,22,
2020-10-16,,,23,
2020-10-19,9,,24,
2020-10-21,,,25,
2020-10-23,,,26,
2020-10-26,10,,27,
2020-10-28,,,28,
2020-10-30,,,29,
2020-11-02,11,,30,
2020-11-04,,,31,
2020-11-06,,,32,
2020-11-09,12,,33,
2020-11-11,,,34,
2020-11-13,,,35,
2020-11-16,13,,36,
2020-11-18,,,37,
2020-11-20,,,38,
2020-11-23,,Thanksgiving,,
2020-11-25,,,,
2020-11-27,,,,
2020-11-30,14,,39,
2020-12-02,,,40,
2020-12-04,,,41,